model_seed,n_nodes,v3-time,v3-try,v3-succ,grad-time,grad-try,grad-succ
1633351684,30,0.012653350830078125,1,False,0.19857382774353027,1,False
2175131969,30,0.04342460632324219,1,False,1.906646728515625,1,True
1838429183,30,0.003537416458129883,1,False,0.23922419548034668,1,False
1672038196,30,0.0052144527435302734,1,False,0.12402510643005371,1,False
3565054141,30,0.0017235279083251953,1,False,0.1967909336090088,1,False
2291515158,30,0.0014300346374511719,1,True,0.0017483234405517578,1,True
3687833881,30,0.0012984275817871094,1,True,0.0014483928680419922,1,True
718204706,30,0.0011188983917236328,1,False,0.13138771057128906,1,False
2467140954,30,0.003078460693359375,1,False,0.12252950668334961,1,True
3878320114,30,0.01981639862060547,1,True,0.0053958892822265625,1,True
2262008619,30,0.0015201568603515625,1,True,0.001714944839477539,1,True
1156384728,30,0.002490520477294922,1,True,0.002714395523071289,1,True
1253018060,30,0.0023183822631835938,1,True,0.002331972122192383,1,True
1565222718,30,0.0018372535705566406,1,True,0.0019488334655761719,1,True
2257118879,30,0.0015256404876708984,1,True,0.0016415119171142578,1,True
1668869636,30,0.0013589859008789062,1,True,0.0014643669128417969,1,True
3269487292,30,0.0013887882232666016,1,False,0.27578020095825195,1,False
2471516034,30,0.010080337524414062,1,False,1.0664739608764648,1,False
2944690109,30,0.012441873550415039,1,False,1.3934555053710938,1,False
4262408808,30,0.003152608871459961,1,True,0.003141641616821289,1,True
1570986634,30,0.0020380020141601562,1,False,0.18070745468139648,1,False
1109380811,30,0.001569509506225586,1,False,0.013983488082885742,1,True
3026330297,30,0.0015614032745361328,1,True,0.0014996528625488281,1,True
2867275819,30,0.002009153366088867,1,True,0.009111166000366211,1,True
3338370487,30,0.005713462829589844,1,False,0.46269798278808594,1,True
3435029833,30,0.0019767284393310547,1,True,0.001802682876586914,1,True
3342982717,30,0.001976490020751953,1,True,0.003971099853515625,1,True
3539569815,30,0.011390209197998047,1,False,0.06818008422851562,1,True
3416554541,30,0.0020377635955810547,1,True,0.002072572708129883,1,True
2535296321,30,0.0015416145324707031,1,True,0.0018339157104492188,1,True
382681464,30,0.0019054412841796875,1,True,0.0017938613891601562,1,True
79345542,30,0.0012934207916259766,1,False,0.15183448791503906,1,False
1173765912,30,0.001987934112548828,1,False,0.12212634086608887,1,False
2656828739,30,0.005300998687744141,1,True,0.01186990737915039,1,True
2093869960,30,0.00124359130859375,1,False,0.0033502578735351562,1,True
1881163873,30,0.0014798641204833984,1,True,0.0015454292297363281,1,True
2032581274,30,0.0015106201171875,1,True,0.0016493797302246094,1,True
1382375792,30,0.0016036033630371094,1,False,0.24641633033752441,1,False
758502073,30,0.001565694808959961,1,False,0.004504203796386719,1,True
2789114524,30,0.04345202445983887,1,False,0.08545041084289551,1,False
4039472346,30,0.00146484375,1,True,0.0015969276428222656,1,True
2131478456,30,0.0015037059783935547,1,True,0.0016601085662841797,1,True
1713981315,30,0.002657651901245117,1,True,0.002859830856323242,1,True
3122963807,30,0.0019807815551757812,1,True,0.002256155014038086,1,True
3074190889,30,0.0014414787292480469,1,True,0.0015587806701660156,1,True
3389316253,30,0.0015404224395751953,1,False,0.21659541130065918,1,False
2993956901,30,0.001522064208984375,1,True,0.0015397071838378906,1,True
4214229349,30,0.001413583755493164,1,False,0.0036945343017578125,1,True
